,areaName,Borough,areaType,2010MedianSales,2011MedianSales,2012MedianSales,2013MedianSales,2014MedianSales,2015MedianSales,2016MedianSales,2017MedianSales,2018MedianSales,2019MedianSales
0,All Downtown,Manhattan,submarket,6574255.5,4495850.0,4595000.0,4746461.0,5231868.0,5853533.0,7355913.5,7552974.5,7047500.0,7171464.5
1,All Midtown,Manhattan,submarket,4706000.0,3523687.0,3570000.0,3626481.5,3622972.0,4362756.0,4725000.0,4717000.0,4476038.5,4482472.0
2,All Upper East Side,Manhattan,submarket,6727062.0,4619500.0,4574507.5,4264513.0,5037500.0,5347500.0,6030250.0,5189361.0,5866639.0,5470385.0
3,All Upper Manhattan,Manhattan,submarket,2631767.5,2055790.5,2105845.0,2203802.0,2168992.0,2670629.0,2676131.0,3005009.0,2981250.0,3165750.0
4,All Upper West Side,Manhattan,submarket,5941024.5,4163172.5,4478750.0,4363854.0,4892500.0,4841300.0,5265339.0,5659000.0,6302888.0,6100300.0
5,Astoria,Queens,neighborhood,2974897.5,1979500.0,2136220.0,2386000.0,2592263.0,2701535.0,2942561.0,3776917.0,3658965.0,3737236.0
6,Auburndale,Queens,neighborhood,,,2784000.0,2818500.0,3405000.0,3121000.0,,3975500.0,4240500.0,3841500.0
7,Bath Beach,Brooklyn,neighborhood,,,,,,4002573.5,4026000.0,4047819.0,,
8,Battery Park City,Manhattan,neighborhood,,,4129827.5,3847723.0,5415535.5,,8694257.0,,,
9,Bay Ridge,Brooklyn,neighborhood,2655232.5,1999000.0,2005125.0,1682724.0,2483500.0,2353666.5,2618500.0,2808641.5,3183145.5,2956505.5
10,Baychester,Bronx,neighborhood,,,,,,,,,,
11,Bayside,Queens,neighborhood,3081500.0,2670500.0,2142750.0,2275500.0,2795250.0,2613500.0,3031150.0,3297500.0,3168000.0,3134000.0
12,Bedford Park,Bronx,neighborhood,,,,,,,,,,
13,Bedford-Stuyvesant,Brooklyn,neighborhood,2588739.0,1886749.5,2209692.0,2330299.0,2865937.5,3901304.5,4419131.0,4736624.0,4423832.5,4474448.0
14,Bellerose,Queens,neighborhood,,,1878725.0,1805166.0,2195750.0,,2535500.0,2506427.5,2947000.0,
15,Belmont,Bronx,neighborhood,,,,,,,,,,
16,Bensonhurst,Brooklyn,neighborhood,4335750.0,,3434000.0,,4337000.0,4279000.0,4685500.0,5386500.0,4896500.0,5590000.0
17,Bergen Beach,Brooklyn,neighborhood,,,,,,,,,,
18,Boerum Hill,Brooklyn,neighborhood,,,,,,,,9260291.0,,
19,Borough Park,Brooklyn,neighborhood,4057999.5,2849586.5,3288220.0,3228250.0,3555006.0,3862500.0,4512500.0,4871000.0,4591600.0,5431250.0
20,Briarwood,Queens,neighborhood,,,,,,,995300.0,,2286230.0,
21,Brighton Beach,Brooklyn,neighborhood,,1632000.0,,2026053.0,1996248.0,2141525.0,,,,2224586.0
22,Bronx,Bronx,borough,2247737.0,1458800.0,1502500.0,1577799.0,1615000.0,1643073.0,1773943.0,1870000.0,2063200.0,2252000.0
23,Bronxwood,Bronx,neighborhood,,,,,,,,,,
24,Brooklyn,Brooklyn,borough,3216482.5,2330644.0,2311010.0,2438750.0,2705000.0,3153500.0,3371850.0,3755798.0,3831582.0,3840000.0
25,Brooklyn Heights,Brooklyn,neighborhood,4856223.0,3172366.5,3593816.0,3724948.5,4125000.0,4118500.0,4172650.0,7148033.5,5261500.0,4613444.0
26,Brookville,Queens,neighborhood,,,,,,,,,,
27,Brownsville,Brooklyn,neighborhood,,,,,,1817243.0,2265500.0,2505000.0,,
28,Bushwick,Brooklyn,neighborhood,2658419.0,1776540.0,2064000.0,2153500.0,2690000.0,3933850.0,4435000.0,4592500.0,4418229.0,4390632.5
29,Cambria Heights,Queens,neighborhood,,,,,,,1794062.5,,,2284240.0
30,Canarsie,Brooklyn,neighborhood,2834575.0,1782301.0,1846750.0,1821600.0,2026638.0,2050558.0,2210000.0,2538500.0,2711730.0,2820000.0
31,Carroll Gardens,Brooklyn,neighborhood,,3772150.0,,,,,,,,
32,Castle Hill,Bronx,neighborhood,,,,,,,,,,
33,Central Harlem,Manhattan,neighborhood,2815782.0,2456691.0,2691009.5,2730666.0,2498173.5,3710643.0,3526318.0,4030837.5,3459748.5,4216000.0
34,Central Park South,Manhattan,neighborhood,,,,,,,,,,
35,Central Queens,Queens,submarket,2383387.5,1740872.0,1766935.0,1756642.0,1804460.0,2097243.5,2138388.0,2377559.5,2797307.0,2862857.0
36,Chelsea,Manhattan,neighborhood,7531933.0,5718301.5,5117256.0,5274581.0,5169652.0,4447400.0,5606585.0,4806250.0,5597250.0,5668500.0
37,Chinatown,Manhattan,neighborhood,,,,,,,,,,
38,City Island,Bronx,neighborhood,,,,,,,,,,
39,Civic Center,Manhattan,neighborhood,,,,,,,,,,
40,Clearview,Queens,neighborhood,,,,,,,,,,
41,Clinton Hill,Brooklyn,neighborhood,,,2082387.0,2265364.5,2777757.0,3794500.0,3667137.5,4114236.5,4926570.0,4520341.0
42,Co-op City,Bronx,neighborhood,,,,,,,,,,
43,Cobble Hill,Brooklyn,neighborhood,,,,,,,,,,
44,College Point,Queens,neighborhood,,,,,2637000.0,,,3767080.5,4115500.0,
45,Columbia St Waterfront District,Brooklyn,neighborhood,,,,,,,,,,
46,Concourse,Bronx,neighborhood,,,,,,,,,,
47,Coney Island,Brooklyn,neighborhood,,,,,,,,,,
48,Corona,Queens,neighborhood,,,2082750.0,,2350500.0,2882230.0,2962500.0,3323500.0,3337540.0,3542378.5
49,Country Club,Bronx,neighborhood,,,,,,,,,,
50,Crotona Park East,Bronx,neighborhood,,,,,,,,,,
51,Crown Heights,Brooklyn,neighborhood,3033635.0,2031542.0,1941250.0,2249375.0,2437517.0,3476250.0,3896187.0,4498500.0,4569000.0,4167117.5
52,DUMBO,Brooklyn,neighborhood,,,,,,,,,,
53,Ditmas Park,Brooklyn,neighborhood,,,,,,,,,,
54,Douglaston,Queens,neighborhood,,,,,,,,,3759293.0,
55,Downtown Brooklyn,Brooklyn,neighborhood,3276242.5,2262250.0,,2971012.0,3124395.5,4436748.5,,3330649.0,4322013.5,
