,areaName,Borough,areaType,2010TotalInventory,2011TotalInventory,2012TotalInventory,2013TotalInventory,2014TotalInventory,2015TotalInventory,2016TotalInventory,2017TotalInventory,2018TotalInventory,2019TotalInventory
0,All Downtown,Manhattan,submarket,22597,21808,25280,33481,42113,41949,42650,47504,39739,38953
1,All Midtown,Manhattan,submarket,16049,15600,16853,20231,24579,28127,30364,33859,26906,26532
2,All Upper East Side,Manhattan,submarket,12942,14294,13093,15018,18451,19408,21233,21193,18332,17266
3,All Upper Manhattan,Manhattan,submarket,3952,4113,5650,8746,11819,16557,17242,20047,15610,17007
4,All Upper West Side,Manhattan,submarket,11443,10121,11657,13168,16729,18032,18034,19119,16340,14259
5,Astoria,Queens,neighborhood,451,376,661,1530,4574,7245,7126,13261,11372,10229
6,Auburndale,Queens,neighborhood,6,11,35,30,28,75,88,92,97,106
7,Bath Beach,Brooklyn,neighborhood,9,17,42,17,57,105,133,240,231,390
8,Battery Park City,Manhattan,neighborhood,999,1252,1520,1836,1996,1692,1646,1522,1248,1298
9,Bay Ridge,Brooklyn,neighborhood,224,273,183,299,1582,1682,1634,3000,3212,3309
10,Baychester,Bronx,neighborhood,0,0,6,1,0,1,4,6,0,5
11,Bayside,Queens,neighborhood,56,60,90,86,119,196,253,242,213,282
12,Bedford Park,Bronx,neighborhood,12,26,32,31,53,412,225,234,92,109
13,Bedford-Stuyvesant,Brooklyn,neighborhood,598,909,1180,1820,4267,8047,8284,12012,9885,11683
14,Bellerose,Queens,neighborhood,5,0,0,0,36,34,47,22,28,21
15,Belmont,Bronx,neighborhood,6,0,8,26,36,83,97,171,148,189
16,Bensonhurst,Brooklyn,neighborhood,13,67,37,81,124,242,225,361,464,433
17,Bergen Beach,Brooklyn,neighborhood,5,2,6,10,6,46,28,84,45,72
18,Boerum Hill,Brooklyn,neighborhood,189,202,201,261,681,828,883,1287,958,846
19,Borough Park,Brooklyn,neighborhood,26,66,47,23,116,203,223,429,335,476
20,Briarwood,Queens,neighborhood,41,45,26,87,175,339,316,612,333,411
21,Brighton Beach,Brooklyn,neighborhood,19,69,53,170,185,540,488,603,502,526
22,Bronx,Bronx,borough,826,779,1160,1264,1910,4258,4544,5439,4314,6281
23,Bronxwood,Bronx,neighborhood,0,12,22,2,32,42,23,151,126,120
24,Brooklyn,Brooklyn,borough,9035,11107,12415,17869,37934,62948,64161,91758,80701,89651
25,Brooklyn Heights,Brooklyn,neighborhood,562,434,693,767,1375,1674,1484,2184,1539,1569
26,Brookville,Queens,neighborhood,4,0,0,0,0,1,1,6,5,7
27,Brownsville,Brooklyn,neighborhood,13,27,42,77,99,208,252,353,268,353
28,Bushwick,Brooklyn,neighborhood,138,480,385,612,2335,4796,5421,7954,8246,11288
29,Cambria Heights,Queens,neighborhood,0,0,0,0,0,2,7,7,3,5
30,Canarsie,Brooklyn,neighborhood,13,50,15,41,45,120,90,162,211,214
31,Carroll Gardens,Brooklyn,neighborhood,359,244,353,293,740,1281,1228,1538,1242,1000
32,Castle Hill,Bronx,neighborhood,0,2,3,2,0,43,65,144,59,57
33,Central Harlem,Manhattan,neighborhood,1781,1693,2297,3416,4221,5302,5817,6552,4791,5536
34,Central Park South,Manhattan,neighborhood,525,456,531,597,630,715,684,664,466,455
35,Central Queens,Queens,submarket,993,1349,1158,1399,3297,5713,6361,10900,9446,9539
36,Chelsea,Manhattan,neighborhood,3206,2623,3077,4294,5053,5943,5674,6511,5476,5271
37,Chinatown,Manhattan,neighborhood,91,172,169,224,307,416,417,568,442,528
38,City Island,Bronx,neighborhood,0,0,0,5,4,6,13,8,2,11
39,Civic Center,Manhattan,neighborhood,1,6,8,0,9,3,0,11,8,11
40,Clearview,Queens,neighborhood,17,16,4,2,7,5,16,18,3,25
41,Clinton Hill,Brooklyn,neighborhood,389,805,515,758,1373,2074,1910,2742,1960,2120
42,Co-op City,Bronx,neighborhood,0,0,0,2,16,5,0,0,2,0
43,Cobble Hill,Brooklyn,neighborhood,154,159,228,267,457,699,752,911,825,656
44,College Point,Queens,neighborhood,13,6,25,12,26,24,30,67,46,43
45,Columbia St Waterfront District,Brooklyn,neighborhood,53,121,92,112,234,336,337,401,255,362
46,Concourse,Bronx,neighborhood,41,61,92,101,124,181,261,327,221,584
47,Coney Island,Brooklyn,neighborhood,9,1,22,98,80,196,222,200,199,134
48,Corona,Queens,neighborhood,260,424,13,10,313,173,308,441,322,209
49,Country Club,Bronx,neighborhood,0,0,2,6,7,0,8,5,5,15
50,Crotona Park East,Bronx,neighborhood,3,0,0,3,7,6,31,14,19,64
51,Crown Heights,Brooklyn,neighborhood,410,713,741,932,2511,5264,4793,7893,7410,8416
52,DUMBO,Brooklyn,neighborhood,325,301,507,395,605,603,622,820,513,593
53,Ditmas Park,Brooklyn,neighborhood,52,112,125,183,391,1022,831,1319,1016,1510
54,Douglaston,Queens,neighborhood,16,19,9,19,36,32,33,33,9,26
55,Downtown Brooklyn,Brooklyn,neighborhood,685,543,622,786,1447,1650,2754,2526,2620,2448
56,Dyker Heights,Brooklyn,neighborhood,40,83,58,59,95,184,212,384,312,370
57,East Brooklyn,Brooklyn,submarket,1168,2157,2394,3555,9397,18590,19127,28942,26358,32427
58,East Elmhurst,Queens,neighborhood,5,0,4,0,27,21,12,31,25,42
59,East Flatbush,Brooklyn,neighborhood,81,88,96,110,316,679,1044,1412,1304,1249
60,East Harlem,Manhattan,neighborhood,560,596,971,1468,2518,3318,3586,3200,2561,2705
61,East New York,Brooklyn,neighborhood,9,28,48,114,185,275,379,730,549,688
62,East Tremont,Bronx,neighborhood,3,4,2,8,51,106,51,90,80,137
63,East Village,Manhattan,neighborhood,2581,2328,3068,4353,5729,7757,7226,8385,7079,7449
64,Eastchester,Bronx,neighborhood,0,0,0,0,0,1,0,1,7,11
65,Edenwald,Bronx,neighborhood,0,0,2,14,13,0,9,14,9,12
66,Elmhurst,Queens,neighborhood,51,41,24,189,231,251,412,820,746,673
67,Financial District,Manhattan,neighborhood,3071,3531,4080,6108,5963,5234,5579,5674,4605,4471
68,Flatbush,Brooklyn,neighborhood,46,135,58,238,385,1313,1306,2525,2332,3555
69,Flatiron,Manhattan,neighborhood,1425,1424,1428,2015,3091,3561,3117,3248,2701,2378
70,Flatlands,Brooklyn,neighborhood,4,21,3,15,14,29,29,48,52,61
71,Floral Park,Queens,neighborhood,0,0,2,7,7,0,1,3,0,7
72,Flushing,Queens,neighborhood,100,148,172,205,356,507,603,1312,913,1214
73,Fordham,Bronx,neighborhood,0,0,10,10,36,110,176,294,206,290
74,Forest Hills,Queens,neighborhood,380,497,549,583,1133,1637,1471,2399,1906,2163
75,Fort Greene,Brooklyn,neighborhood,500,478,486,588,1159,1607,1612,2540,1379,1444
76,Fresh Meadows,Queens,neighborhood,0,0,3,18,21,24,15,67,14,41
77,Gerritsen Beach,Brooklyn,neighborhood,0,0,0,0,3,0,0,7,26,5
78,Glen Oaks,Queens,neighborhood,1,12,15,5,56,34,23,29,34,15
79,Glendale,Queens,neighborhood,4,6,30,53,68,136,195,314,258,327
80,Gowanus,Brooklyn,neighborhood,51,146,53,263,486,670,664,830,911,605
81,Gramercy Park,Manhattan,neighborhood,1295,1162,1468,1800,2021,2351,2308,2903,2330,2106
