,areaName,Borough,areaType,2010TotalInventory,2011TotalInventory,2012TotalInventory,2013TotalInventory,2014TotalInventory,2015TotalInventory,2016TotalInventory,2017TotalInventory,2018TotalInventory,2019TotalInventory
0,All Downtown,Manhattan,submarket,15118,16808,15745,13755,13921,14420,16086,15492,16862,18192
1,All Midtown,Manhattan,submarket,12167,13379,12847,10443,8888,9917,10657,11043,11688,12679
2,All Upper East Side,Manhattan,submarket,11945,14060,13542,11624,9514,9766,9647,10007,11251,12116
3,All Upper Manhattan,Manhattan,submarket,6158,7411,6188,4483,4268,3377,3640,3346,3828,4438
4,All Upper West Side,Manhattan,submarket,7658,9400,8302,6491,5947,6350,6141,6512,7096,8057
5,Astoria,Queens,neighborhood,849,741,689,399,599,582,552,650,1045,1111
6,Auburndale,Queens,neighborhood,26,33,55,44,22,63,52,103,101,160
7,Bath Beach,Brooklyn,neighborhood,34,115,129,112,42,63,129,121,384,451
8,Battery Park City,Manhattan,neighborhood,864,1345,1026,770,497,616,640,597,787,873
9,Bay Ridge,Brooklyn,neighborhood,316,536,520,651,798,684,855,1199,1583,1811
10,Baychester,Bronx,neighborhood,4,1,0,4,2,28,3,17,27,50
11,Bayside,Queens,neighborhood,160,216,198,182,276,404,372,418,337,564
12,Bedford Park,Bronx,neighborhood,33,26,12,68,62,61,21,42,61,66
13,Bedford-Stuyvesant,Brooklyn,neighborhood,808,1332,1056,731,1211,1498,1648,1594,1906,2420
14,Bellerose,Queens,neighborhood,4,0,0,6,47,90,148,93,168,151
15,Belmont,Bronx,neighborhood,4,2,12,9,6,17,0,1,8,6
16,Bensonhurst,Brooklyn,neighborhood,36,177,117,91,127,116,194,256,564,757
17,Bergen Beach,Brooklyn,neighborhood,76,88,56,62,208,237,218,218,334,457
18,Boerum Hill,Brooklyn,neighborhood,214,199,214,153,179,374,470,531,282,297
19,Borough Park,Brooklyn,neighborhood,24,70,110,82,47,21,93,167,342,520
20,Briarwood,Queens,neighborhood,166,228,156,246,221,202,151,191,307,270
21,Brighton Beach,Brooklyn,neighborhood,161,164,200,373,226,272,413,623,744,949
22,Bronx,Bronx,borough,3096,4207,4548,4830,4767,4909,4259,3957,3927,4786
23,Bronxwood,Bronx,neighborhood,19,33,38,34,37,67,64,83,95,65
24,Brooklyn,Brooklyn,borough,17191,21665,18148,13659,13441,17696,20750,23466,27831,32649
